 ,'(',')','*','+',"','",'-','.','/',':',';','<','=','@','{','}','~',ASSIGN,BOOL_CONST,CASE,CLASS,DARROW,ELSE,ESAC,FI,IF,IN,INHERITS,INT_CONST,ISVOID,LE,LET,LOOP,NEW,NOT,OBJECTID,OF,POOL,STR_CONST,THEN,TYPEID,WHILE,$end,block_expr_list,branch,branch_list,class,class_list,dispatch_expr_list,expr,feature,feature_list,formal,formal_list,let_expr_tail,opt_dispatch_expr_list,opt_feature_list,opt_formal_list,program
85,,r19,"s52, r19","r19, s53",r19,"s54, r19","s55, r19","s56, r19",,r19,"s58, r19","s59, r19","s60, r19",,r19,,,,,,,r19,,r19,,r19,,,,"r19, s61",,r19,,,,r19,r19,,r19,,,,,,,,,,,,,,,,,,,
86,,r16,r16,r16,r16,r16,r16,r16,,r16,r16,r16,r16,,r16,,,,,,,r16,,r16,,r16,,,,r16,,r16,,,,r16,r16,,r16,,,,,,,,,,,,,,,,,,,
87,,,s52,s53,,s54,s55,s56,,s101,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,r29,r29,r29,r29,r29,r29,r29,,r29,r29,r29,r29,,r29,,,,,,,r29,,r29,,r29,,,,r29,,r29,,,,r29,r29,,r29,,,,,,,,,,,,,,,,,,,
89,r1,,,,,,,,,,,,,r1,r1,r1,,r1,r1,,,,,,r1,,,r1,r1,,r1,,r1,r1,r1,,,r1,,,r1,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s104,,,,,,,,,102,103,,,,,,,,,,,,,
91,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,105,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s106,,,,,,,,,,,,,,,,,,
93,,r49,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,r10,s52,s53,r10,s54,s55,s56,,,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,r35,"s52, r35","r35, s53",r35,"s54, r35","s55, r35","s56, r35",,r35,"s58, r35","s59, r35","s60, r35",,r35,,,,,,,r35,,r35,,r35,,,,"r35, s61",,r35,,,,r35,r35,,r35,,,,,,,,,,,,,,,,,,,
97,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,109,,,,,,,,,
98,,,s52,s53,,s54,s55,s56,,,s58,s59,s60,,s110,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,s36,r50,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,93,94,,,,,,111,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,,,,,,,,,,,,,
101,r2,,,,,,,,,,,,,r2,r2,r2,,r2,r2,,,,,,r2,,,r2,r2,,r2,,r2,r2,r2,,,r2,,,r2,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,s114,,,,,,,,,,,,s104,,,,,,,,,113,,,,,,,,,,,,,,
104,,,,,,,,,s115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,s52,s53,,s54,s55,s56,,,s58,s59,s60,,,,,,,,,s116,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,s117,,,,,,,,,,,,s118,,,,,,,,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,120,,,,,,,,,
108,,r32,r32,r32,r32,r32,r32,r32,,r32,r32,r32,r32,,r32,,,,,,,r32,,r32,,r32,,,,r32,,r32,,,,r32,r32,,r32,,,,,,,,,,,,,,,,,,,
109,,,s52,s53,,s54,s55,s56,,,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,,,,,,s121,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,s123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,
114,,r28,r28,r28,r28,r28,r28,r28,,r28,r28,r28,r28,,r28,,,,,,,r28,,r28,,r28,,,,r28,,r28,,,,r28,r28,,r28,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s125,,,,,,,,,,,,,,,,,,
116,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,126,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,127,,,,
118,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,128,,,,,,,,,
119,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,129,,,,,,,,,
120,,r11,s52,s53,r11,s54,s55,s56,,,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,r30,r30,r30,r30,r30,r30,r30,,r30,r30,r30,r30,,r30,,,,,,,r30,,r30,,r30,,,,r30,,r30,,,,r30,r30,,r30,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,
123,,r33,r33,r33,r33,r33,r33,r33,,r33,r33,r33,r33,,r33,,,,,,,r33,,r33,,r33,,,,r33,,r33,,,,r33,r33,,r33,,,,,,,,,,,,,,,,,,,
124,s36,r50,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,93,94,,,,,,130,,,
125,,,,,,,,,,,,,,,,,,,,,s131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,s52,s53,,s54,s55,s56,,,s58,s59,s60,,,,,,,,,,,s132,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,r47,r47,r47,r47,r47,r47,r47,,r47,r47,r47,r47,,r47,,,,,,,r47,,r47,,r47,,,,r47,,r47,,,,r47,r47,,r47,,,,,,,,,,,,,,,,,,,
128,,,s52,s53,s133,s54,s55,s56,,,s58,s59,s60,,,,,,,,,,,,,s134,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,r45,"r45, s52","r45, s53",r45,"r45, s54","r45, s55","s56, r45",,r45,"r45, s58","r45, s59","r45, s60",,r45,,,,,,,r45,,r45,,r45,,,,"r45, s61",,r45,,,,r45,r45,,r45,,,,,,,,,,,,,,,,,,,
130,,s135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,136,,,,,,,,,
132,,r31,r31,r31,r31,r31,r31,r31,,r31,r31,r31,r31,,r31,,,,,,,r31,,r31,,r31,,,,r31,,r31,,,,r31,r31,,r31,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,137,,,,
134,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,138,,,,,,,,,
135,,r34,r34,r34,r34,r34,r34,r34,,r34,r34,r34,r34,,r34,,,,,,,r34,,r34,,r34,,,,r34,,r34,,,,r34,r34,,r34,,,,,,,,,,,,,,,,,,,
136,,,s52,s53,,s54,s55,s56,,s139,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,r48,r48,r48,r48,r48,r48,r48,,r48,r48,r48,r48,,r48,,,,,,,r48,,r48,,r48,,,,r48,,r48,,,,r48,r48,,r48,,,,,,,,,,,,,,,,,,,
138,,r46,"s52, r46","r46, s53",r46,"r46, s54","s55, r46","s56, r46",,r46,"s58, r46","s59, r46","s60, r46",,r46,,,,,,,r46,,r46,,r46,,,,"r46, s61",,r46,,,,r46,r46,,r46,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,
